x,y
527.0,551.0
527.0,552.0
528.0,550.0
528.0,551.0
529.0,325.0
529.0,326.0
530.0,324.0
530.0,325.0
530.0,326.0
530.0,327.0
531.0,325.0
531.0,326.0
532.0,325.0
532.0,326.0
597.0,488.0
597.0,489.0
598.0,487.0
598.0,488.0
598.0,489.0
599.0,487.0
599.0,488.0
599.0,489.0
600.0,488.0
602.0,326.0
602.0,327.0
603.0,325.0
603.0,326.0
603.0,327.0
603.0,328.0
604.0,326.0
604.0,327.0
641.0,325.0
641.0,326.0
642.0,324.0
642.0,325.0
642.0,326.0
642.0,327.0
643.0,325.0
643.0,326.0
654.0,447.0
654.0,448.0
655.0,446.0
655.0,447.0
655.0,448.0
655.0,449.0
656.0,447.0
656.0,448.0
656.0,449.0
691.0,449.0
692.0,448.0
692.0,449.0
692.0,450.0
693.0,448.0
693.0,449.0
693.0,450.0
694.0,449.0
698.0,363.0
699.0,362.0
699.0,363.0
699.0,364.0
700.0,362.0
700.0,363.0
700.0,364.0
701.0,363.0
704.0,392.0
704.0,393.0
705.0,391.0
705.0,392.0
705.0,393.0
705.0,394.0
706.0,392.0
706.0,393.0
734.0,455.0
734.0,456.0
735.0,454.0
735.0,455.0
735.0,456.0
735.0,457.0
736.0,455.0
736.0,456.0
745.0,331.0
746.0,330.0
746.0,331.0
746.0,332.0
747.0,330.0
747.0,331.0
747.0,332.0
748.0,330.0
748.0,331.0
752.0,830.0
752.0,831.0
752.0,832.0
752.0,833.0
753.0,830.0
753.0,831.0
753.0,832.0
753.0,833.0
753.0,834.0
753.0,835.0
754.0,830.0
754.0,831.0
754.0,832.0
754.0,833.0
754.0,834.0
754.0,835.0
754.0,836.0
755.0,829.0
755.0,830.0
755.0,831.0
755.0,832.0
755.0,833.0
755.0,834.0
755.0,835.0
755.0,836.0
756.0,829.0
756.0,830.0
756.0,831.0
756.0,832.0
756.0,833.0
756.0,834.0
756.0,835.0
756.0,836.0
757.0,829.0
757.0,830.0
757.0,831.0
757.0,832.0
757.0,833.0
757.0,834.0
757.0,835.0
757.0,836.0
758.0,830.0
758.0,831.0
758.0,832.0
758.0,833.0
758.0,834.0
758.0,835.0
759.0,831.0
759.0,832.0
759.0,833.0
761.0,414.0
761.0,415.0
762.0,414.0
762.0,415.0
762.0,416.0
763.0,414.0
763.0,415.0
770.0,377.0
770.0,378.0
771.0,376.0
771.0,377.0
771.0,378.0
772.0,377.0
772.0,378.0
842.0,671.0
843.0,670.0
843.0,671.0
843.0,672.0
844.0,670.0
844.0,671.0
844.0,672.0
844.0,673.0
845.0,671.0
845.0,672.0
